Frame,A,B,C,D,E,F,G,H,I,J,K,L
0,143.093,142.77,122.553,124.363,87.0189,92.9811,93.54,91.8011,150.176,146.187,107.071,107.093,
1,144.832,144.268,121.332,122.273,87.0784,92.9216,93.1456,90.8344,149.192,144.401,106.32,106.036,
2,144.833,144.27,121.328,122.269,87.0813,92.9187,93.1505,90.8249,149.211,144.406,106.319,106.035,
3,150.35,144.275,120.4,122.075,87.2834,92.7166,92.9826,90.6982,149.44,144.417,106.27,105.935,
4,145.125,144.275,121.619,122.074,87.2764,92.7237,92.981,90.7016,149.432,144.418,106.269,105.935,
5,150.33,144.276,120.406,122.069,87.2809,92.7191,92.9783,90.6943,149.444,144.422,106.268,105.932,
6,150.144,144.357,120.337,122.086,87.3102,92.6899,92.8788,90.6034,149.749,144.637,106.211,105.935,
7,151.343,145.081,121.248,122.154,87.7783,92.2217,91.8072,89.6723,146.957,141.812,103.875,103.291,
8,151.293,145.076,121.252,122.148,87.7801,92.2199,91.7942,89.6659,146.926,141.792,103.872,103.288,
9,148.498,145.77,122.655,121.565,87.5736,92.4264,91.3363,89.3669,146.794,141.242,103.684,102.975,
10,148.496,145.77,122.647,121.569,87.5382,92.4618,91.3258,89.3927,146.751,141.24,103.678,102.976,
11,150.945,146.012,121.394,122.223,87.9381,92.0619,91.4107,89.5376,146.285,141.642,103.491,103.178,
12,151.34,145.526,121.238,121.879,87.9077,92.0923,91.1815,89.2492,145.138,140.214,103.199,102.513,
13,151.004,145.308,120.909,121.817,87.9439,92.0561,91.1673,89.2161,144.837,140.096,103.353,102.711,
14,150.883,145.29,120.992,121.883,87.8812,92.1188,91.1394,89.2192,144.924,140.121,103.338,102.651,
15,150.926,145.285,120.978,121.89,87.8716,92.1284,91.1291,89.2276,144.893,140.103,103.323,102.638,
16,151.185,145.434,120.863,121.652,87.9471,92.0529,91.0319,89.0588,144.709,139.937,103.223,102.524,
17,150.639,145.8,121.047,121.669,88.0294,91.9706,91.1288,89.16,145.136,140.535,103.276,102.705,
18,147.869,146.119,123.296,121.615,87.9632,92.0368,90.8911,89.3081,146.1,141.74,103.446,102.902,
19,151.504,145.672,120.938,122.032,87.936,92.064,90.908,89.1853,145.179,140.48,103.169,102.566,
20,148.578,146.108,122.809,121.552,87.7708,92.2293,90.7831,89.2525,146.269,141.19,103.237,102.569,
21,151.613,145.904,120.95,121.704,87.9026,92.0974,90.8379,89.1982,145.621,140.673,103.161,102.42,
22,151.352,145.551,120.653,121.626,87.848,92.152,90.7914,89.0815,144.752,139.724,103.072,102.274,
23,150.92,145.481,120.79,121.789,87.8969,92.1031,90.8187,89.0473,144.983,139.97,103.072,102.374,
24,150.411,145.824,120.797,121.606,88.1116,91.8884,90.9075,89.1151,145.333,140.635,103.18,102.61,
25,150.124,145.716,120.896,121.662,88.1432,91.8568,90.8866,89.1155,145.387,140.701,103.157,102.568,
26,150.375,145.66,120.865,121.738,88.0388,91.9612,90.8465,89.1219,145.29,140.675,103.141,102.495,
27,150.291,145.244,120.959,121.956,87.9976,92.0024,90.7846,89.1243,145.141,140.326,103.077,102.456,
28,148.264,145.696,123.344,121.83,87.8147,92.1853,90.6822,89.267,146.047,140.85,103.16,102.453,
29,148.666,146.351,122.725,121.484,87.8499,92.1501,90.6959,89.3104,146.477,140.984,103.261,102.546,
30,150.858,145.848,120.813,121.796,88.0496,91.9504,90.839,89.3263,145.847,140.865,103.298,102.712,
