Frame,A,B,C,D,E,F,G,H,I,J,K,L
0,144.882,150.844,119.841,128.509,87.7211,92.2789,87.6897,87.9384,137.42,134.39,103.959,104.112,
1,143.747,150.995,119.533,129.401,88.5973,91.4027,89.233,88.4012,142.35,138.443,105.227,106.037,
2,142.702,151.053,116.454,126.054,90.6296,89.3704,89.2259,88.4191,142.148,138.434,105.369,106.082,
3,146.111,151.311,116.056,126.361,90.6616,89.3384,88.2414,88.277,140.654,135.965,103.726,104.159,
4,145.113,150.532,116.735,128.177,90.5173,89.4827,89.1364,88.4043,143.07,137.753,104.971,105.571,
5,145.739,150.769,116.417,127.25,91.0544,88.9456,89.1364,88.4043,143.07,137.753,104.971,105.571,
6,144.762,150.353,116.839,127.226,91.2058,88.7942,89.3551,88.4965,143.255,137.498,105.118,105.699,
7,145.204,150.509,116.51,126.823,91.3154,88.6846,89.306,88.5388,143.427,137.266,105.223,105.7,
8,145.226,150.13,116.903,128.081,90.9645,89.0355,89.306,88.5388,143.427,137.266,105.223,105.7,
9,145.733,151.949,116.785,125.717,91.5121,88.488,87.9982,88.3998,143.282,136.243,103.868,103.85,
10,145.702,151.641,117.318,127.654,91.138,88.862,88.7956,88.3017,145.42,138.603,104.603,105.059,
11,145.849,151.937,116.173,126.427,91.3072,88.6928,88.7956,88.3017,145.42,138.603,104.603,105.059,
12,146.174,151.715,116.708,126.904,91.0694,88.9306,88.7955,88.3017,145.42,138.603,104.603,105.059,
13,145.733,151.104,117.066,127.914,91.0151,88.9848,88.9396,88.2935,146.049,139.05,104.744,105.313,
14,146.944,151.037,115.932,127.928,91.245,88.755,88.4414,88.2627,146.281,138.409,104.3,104.632,
15,146.993,151.81,115.53,128.039,91.1247,88.8753,88.3912,87.9372,146.417,138.508,103.899,104.463,
16,147.107,152.581,114.857,126.98,91.1402,88.8598,88.1317,88.025,147.313,139.23,103.989,104.453,
17,148.536,152.152,115.104,127.178,91.297,88.7031,87.7954,88.0192,146.705,138.318,103.526,103.798,
18,148.345,152.009,115.177,127.599,91.1459,88.8542,87.7964,88.0184,146.707,138.32,103.527,103.799,
19,148.778,152.536,115.176,126.355,91.5748,88.4251,87.8198,88.0103,146.736,138.344,103.526,103.803,
20,148.696,152.363,114.834,126.652,91.3999,88.6001,87.8202,88.0102,146.737,138.345,103.527,103.803,
