Frame,A,B,C,D,E,F,G,H,I,J,K,L
0,133.692,91.0988,114.09,118.864,90,90,87.4386,87.434,176.413,164.642,128.241,127.46,
1,125.539,91.5277,114.773,118.883,90,90,88.3083,86.9108,175.137,164.482,127.923,128.262,
2,121.995,92.3106,114.993,119.054,90,90,88.2797,87.2155,172.981,166.244,127.376,127.693,
3,103.657,99.5195,116.068,128.024,80.9946,90.058,74.0971,88.752,172.956,178.523,127.386,119.848,
4,100.667,98.908,115.872,126.099,80.8165,89.963,73.5373,88.4901,171.275,176.697,128.15,119.39,
5,117.967,99.429,115.636,127.765,84.2872,89.9764,75.8106,88.2143,169.329,176.136,128.516,120.12,
6,122.759,95.4773,117.148,119.752,89.9515,90.0485,89.6006,88.3001,158.917,173.73,116.826,127.888,
7,120.844,94.638,117.878,117.872,90.0212,89.9788,92.3757,86.6451,167.004,175.867,114.309,127.888,
8,101.733,94.5459,116.333,116.039,90.0397,89.9603,90.79,86.1792,166.551,173.175,119.531,128.208,
9,108.034,97.2541,115.896,114.66,90.0243,89.9757,91.024,86.3709,165.649,173.333,119.969,128.208,
10,164.981,173.122,125.846,125.024,89.8681,90.1319,93.5293,102.833,167.612,171.509,109.5,112.435,
11,173.023,174.767,136.39,121.616,90.1205,89.8795,89.5161,94.6026,172.895,172.899,105.868,100.748,
12,172.731,177.44,131.209,125.403,90.0749,89.9251,90.1557,96.9577,170.907,172.842,100.615,97.4186,
13,171.254,177.99,127.6,124.794,90.0233,89.9766,87.462,98.8077,145.15,169.718,98.0142,95.009,
14,178.261,175.017,122.381,123.666,90.0278,89.9722,87.4341,99.6989,140.934,164.947,100.105,100.034,
15,175.851,177.339,118.124,111.161,90.116,89.884,93.4787,92.6456,149.642,159.789,103.171,102.297,
16,147.616,147.478,126.618,127.161,90.1006,89.8994,104.845,91.5733,133.387,166.35,98.7354,107.579,
17,147.725,149.4,118.957,116.357,90.5525,89.4475,88.8593,91.5719,157.67,167.424,103.956,104.469,
18,152.711,149.922,119.808,122.193,90.6537,89.3464,91.0756,93.5888,159.877,169.098,104.421,104.902,
19,151.612,147.44,119.889,121.939,90.4413,89.5587,92.4187,92.1779,159.64,168.789,104.442,104.945,
20,150.697,149.952,119.453,115.795,90.3456,89.6544,92.5633,92.192,159.117,167.755,104.397,104.864,
21,149.487,173.452,118.062,105.222,90.0232,89.9768,88.7305,98.3322,159.495,160.535,104.397,104.863,
22,149.487,149.953,118.062,115.795,90.0034,89.9965,86.0309,96.0504,161.764,163.256,108.644,104.863,
23,149.117,149.154,114.193,115.868,89.9934,90.0065,93.7467,92.3003,155.226,166.648,104.783,105.271,
24,148.561,148.344,118.516,117.294,89.9964,90.0036,94.7528,91.5788,155.258,167.141,104.774,105.259,
25,148.561,151.233,118.516,115.734,89.9849,90.0151,94.4183,91.9922,155.443,167.066,104.774,105.259,
26,150.655,144.036,118.246,117.817,89.9911,90.0089,94.453,91.6836,155.275,167.736,104.774,105.259,
27,151.012,145.897,118.34,118.578,89.9917,90.0083,93.9684,91.6914,154.744,170.013,104.408,105.278,
28,147.907,147.582,118.72,118.349,89.9819,90.0181,94.3804,91.3732,154.579,169.037,104.416,105.312,
29,147.908,148.129,118.72,118.563,90.004,89.996,94.8775,91.1299,154.316,168.481,104.416,105.312,
30,147.908,148.923,118.72,118.217,89.9653,90.0347,94.889,90.8941,153.726,168.465,104.416,105.312,
31,147.908,148.445,118.72,118.694,89.991,90.0089,95.5562,90.52,153.784,168.256,104.416,105.312,
32,147.949,152.923,118.725,115.812,89.9669,90.0331,94.5676,91.609,153.904,167.701,104.412,105.307,
33,147.741,154.676,118.942,114.589,89.9823,90.0177,94.962,92.6683,155.467,166.479,104.741,105.025,
34,147.69,154.662,118.943,114.571,90,90,94.4785,92.7024,157.228,167.148,104.745,105.026,
35,146.342,154.271,119.871,114.572,90,90,94.1982,91.9328,157.037,166.395,105.062,105.179,
36,146.349,150.31,119.858,118.614,89.9943,90.0057,95.5019,91.0175,155.402,166.359,105.056,105.175,
37,146.351,158.521,119.858,105.547,89.9266,90.0734,96.4581,90.016,154.871,166.925,105.056,105.175,
38,146.351,168.805,119.858,105.456,89.909,90.091,97.6068,89.0417,154.161,166.684,105.056,105.175,
