Frame,A,B,C,D,E,F,G,H,I,J,K,L
0,133.851,171.302,105.998,117.129,90,90,93.1045,94.8003,116.971,127.285,118.104,118.095,
1,133.815,171.382,106.101,117.165,90,90,93.1008,94.852,116.981,127.272,118.109,118.088,
2,132.984,167.436,106.551,117.162,90,90,93.1196,95.3957,116.817,124.477,118.529,118.534,
3,132.933,167.603,106.754,117.199,90,90,93.1563,95.4912,117.418,124.739,118.81,118.618,
4,132.165,167.766,106.471,120.752,90,90,92.5901,94.2749,117.179,125.987,119.23,119.27,
5,131.811,169.696,104.428,121.665,90,90,91.6531,94.8988,117.679,127.083,119.965,119.805,
6,132.508,167.018,104.78,119.202,90,90,92.2991,94.0244,118.122,127.982,120.322,119.979,
7,131.934,167.207,105.185,119.191,90,90,92.147,94.3094,119.144,128.686,120.574,120.138,
8,131.893,167.201,105.24,119.148,90,90,92.0602,94.3169,120.003,129.217,120.473,120.116,
9,134.713,174.417,103.099,118.473,90,90,91.168,94.7625,120.686,130.472,120.207,119.925,
10,134.713,174.417,103.099,118.473,90,90,91.168,94.7625,120.687,130.473,120.207,119.925,
11,134.173,173.441,103.206,118.578,90,90,91.3551,94.5295,122.071,131.919,120.503,120.023,
12,133.783,171.906,105.146,118.38,90,90,91.1396,94.9034,123.191,132.848,120.782,120.335,
13,134.618,171.801,103.456,119.269,90,90,91.2938,94.5141,124.986,133.016,120.767,120.147,
14,134.62,171.771,103.476,119.267,90,90,91.2942,94.5156,125.016,133.043,120.768,120.145,
15,134.037,171.791,104.78,119.262,90,90,91.6897,94.116,126.422,134.163,121.042,120.293,
16,132.602,171.754,104.365,120.136,90,90,91.0943,96.2189,125.136,135.25,121.318,120.676,
17,131.312,171.93,105.106,120.295,90,90,91.232,96.3376,125.346,135.96,121.545,120.757,
18,133.373,172.28,107.647,119.544,90,90,92.2414,94.6314,128.995,137.363,121.906,120.946,
19,132.097,171.066,107.381,120.49,90,90,91.3285,96.0576,126.672,137.196,121.731,120.892,
20,131.341,172.017,107.317,120.149,90,90,91.2736,96.4119,126.517,138.044,121.959,121.128,
21,133.697,171.496,110.399,119.257,90,90,92.8281,94.1055,130.981,138.986,122.022,121.226,
22,133.746,171.514,110.421,119.258,90,90,92.8303,94.1092,131.056,139.071,122.045,121.233,
23,133.746,171.514,110.421,119.258,90,90,92.8303,94.1092,131.056,139.071,122.045,121.233,
24,134.159,168.294,111.136,119.431,90,90,92.6705,93.8218,132.928,139.538,121.999,121.298,
25,134.677,170.55,111.141,119.108,90,90,91.9602,93.6984,134.6,139.827,121.819,121.206,
26,135.847,170.214,111.701,119.365,90,90,91.5768,94.1357,135.366,140.778,122.299,121.441,
27,135.176,170.385,111.135,119.409,90,90,91.4949,94.0717,135.291,140.596,122.323,121.582,
28,135.176,170.385,111.136,119.409,90,90,91.4948,94.0722,135.291,140.597,122.323,121.581,
29,135.176,170.385,111.136,119.409,90,90,91.4947,94.0725,135.291,140.597,122.323,121.581,
30,134.884,169.274,113.385,119.646,90,90,91.4081,93.9442,135.661,140.886,122.09,121.535,
31,134.627,170.523,111.404,119.966,90,90,91.1198,94.9859,129.687,140.596,122.16,121.362,
32,132.957,170.591,112.651,120.449,90,90,91.1992,95.4204,127.769,140.996,122.24,121.518,
33,134.023,169.939,112.518,120.256,90,90,92.7006,94.8802,135.292,141.987,122.618,121.677,
34,134.024,169.94,112.518,120.256,90,90,92.6978,94.8805,135.292,141.988,122.618,121.677,
35,134.024,169.94,112.518,120.256,90,90,92.6978,94.8805,135.292,141.988,122.618,121.677,
