Frame,A,B,C,D,E,F,G,H,I,J,K,L
0,148.664,143.498,112.784,113.632,90.01,89.99,92.1191,90.8737,158.968,156.666,110.918,111.85,
1,153.699,145.187,114.225,113.094,90.0347,89.9653,91.4482,90.7237,161.031,156.683,109.106,109.125,
2,150.118,136.423,118.607,118.345,90.0113,89.9887,89.8053,91.1806,160.254,154.773,108.795,108.129,
3,154.747,141.624,118.074,115.488,90.0136,89.9865,90.2364,91.0091,160.565,155.582,108.399,108.815,
4,156.785,149.655,116.507,113.606,90.0151,89.9849,91.2746,90.343,161.292,155.353,106.351,107.549,
5,172.09,148.487,150.354,114.625,90.0026,89.9974,98.5697,86.4137,163.517,155.602,106.638,98.6002,
6,164.335,147.084,153.727,116.217,90.0511,89.9489,101.212,82.7812,163.935,158.801,98.5046,100.489,
7,165.16,147.793,153.824,116.31,90.0469,89.9531,101.364,82.6314,163.361,159.014,94.9747,100.263,
8,165.182,148.444,153.766,116.29,90.045,89.955,101.375,82.5441,163.138,159.087,94.6993,100.168,
9,167.864,148.123,152.516,116.816,90.0729,89.9271,101.332,82.3658,164.989,159.48,97.0864,100.101,
10,167.864,148.119,152.516,116.815,90.0727,89.9273,101.332,82.3657,164.988,159.479,97.0864,100.101,
11,167.822,149.612,152.212,116.769,90.066,89.934,101.444,82.2004,164.636,160.618,97.1443,99.9289,
12,167.891,150.52,151.611,116.884,90.0424,89.9575,101.32,82.049,164.591,161.797,97.4744,100.362,
13,167.391,150.457,151.647,116.939,90.0508,89.9492,101.463,81.9992,165.499,161.469,97.7975,100.515,
14,155.165,165.28,114.752,113.761,90.013,89.987,95.6647,87.8923,160.348,161.077,104.671,107.919,
15,160.728,159.549,115.844,113.822,90.0254,89.9746,93.0809,89.5816,157.938,158.86,104.525,104.28,
16,152.831,163.696,116.285,116.372,90.0543,89.9457,92.9367,89.291,156.053,161.013,102.901,105.931,
17,152.339,163.49,116.532,117.115,90.0534,89.9466,92.776,89.4437,154.345,161.37,101.905,104.839,
18,152.356,163.444,116.531,117.112,90.053,89.947,92.7735,89.4502,154.332,161.36,101.9,104.837,
19,152.399,163.444,116.526,117.128,90.0524,89.9475,92.7757,89.4512,154.323,161.324,101.878,104.834,
20,152.264,161.738,116.709,116.529,90.0343,89.9657,92.5772,89.5065,155.735,160.675,102.653,105.422,
21,152.422,161.831,116.691,116.535,90.0346,89.9654,92.5732,89.4936,155.783,160.718,102.611,105.386,
22,152.4,161.908,116.68,116.54,90.034,89.966,92.5717,89.4947,155.82,160.747,102.59,105.366,
